experiment,model_size,two_branch,channel_mode,fft_highpass_only,fft_low_cut_ratio,use_tta,num_samples,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,pos_rate,val_ratio,seed,checkpoint
arch_twobranch_small_rgb_grad,small,True,rgb_grad,False,0.1,False,800,0.5,0.935,0.9633507853403142,0.9064039408866995,0.9340101522842641,368,380,14,38,0.4775,0.1,42,./weights/arch_twobranch_small_rgb_grad/best_model.pth
reg_twobranch_small_strong,small,True,rgb_grad,False,0.1,False,800,0.5,0.81625,0.8105515587529976,0.8325123152709359,0.8213851761846901,338,315,79,68,0.52125,0.1,42,./weights/reg_twobranch_small_strong/best_model.pth
reg_twobranch_small_strong_ls,small,True,rgb_grad,False,0.1,False,800,0.5,0.82625,0.836272040302267,0.8177339901477833,0.8268991282689911,332,329,65,74,0.49625,0.1,42,./weights/reg_twobranch_small_strong_ls/best_model.pth
reg_twobranch_small_strong_mixup,small,True,rgb_grad,False,0.1,False,800,0.5,0.80125,0.8142493638676844,0.7881773399014779,0.8010012515644555,320,321,73,86,0.49125,0.1,42,./weights/reg_twobranch_small_strong_mixup/best_model.pth
reg_twobranch_small_strong_ls_mixup,small,True,rgb_grad,False,0.1,False,800,0.5,0.7925,0.7985074626865671,0.7906403940886699,0.7945544554455445,321,313,81,85,0.5025,0.1,42,./weights/reg_twobranch_small_strong_ls_mixup/best_model.pth
extra_twobranch_small_lr5e4,small,True,rgb_grad,False,0.1,False,800,0.5,0.94,0.9661458333333334,0.9137931034482759,0.9392405063291139,371,381,13,35,0.48,0.1,42,./weights/extra_twobranch_small_lr5e4/best_model.pth
extra_twobranch_small_lr3e4,small,True,rgb_grad,False,0.1,False,800,0.5,0.92375,0.9551451187335093,0.8916256157635468,0.9222929936305733,362,377,17,44,0.47375,0.1,42,./weights/extra_twobranch_small_lr3e4/best_model.pth
extra_twobranch_small_ls_only,small,True,rgb_grad,False,0.1,False,800,0.5,0.93875,0.9709762532981531,0.9064039408866995,0.9375796178343949,368,383,11,38,0.47375,0.1,42,./weights/extra_twobranch_small_ls_only/best_model.pth
extra_twobranch_small_mixup_only,small,True,rgb_grad,False,0.1,False,800,0.5,0.96,0.9794871794871794,0.9408866995073891,0.9597989949748744,382,386,8,24,0.4875,0.1,42,./weights/extra_twobranch_small_mixup_only/best_model.pth
extra_twobranch_small_strong_ls_mixup_lr5e4,small,True,rgb_grad,False,0.1,False,800,0.5,0.82875,0.8106235565819861,0.8645320197044335,0.8367103694874851,351,312,82,55,0.54125,0.1,42,./weights/extra_twobranch_small_strong_ls_mixup_lr5e4/best_model.pth
